city,company_id,salary_from,employment,schedule,experience,key_skills,specializations
unknown,3036416,64800,full,flyInFlyOut,between1And3,,29.495 29.545 21.275 21.564 21.136
unknown,3036416,40000,full,fullDay,noExperience,,29.495 29.545 21.275 21.564 21.136
unknown,3036416,66000,full,flyInFlyOut,noExperience,,29.495 29.545 21.275 21.564 21.136
unknown,3036416,40000,full,fullDay,noExperience,,29.495 29.545 21.275 21.564 21.136
unknown,3519771,800,full,shift,between1And3,,17.256 17.231 17.52
Обнинск,4163326,100000,full,fullDay,between1And3,,1.221
unknown,4242662,50000,full,fullDay,between1And3,,21.17
Волгоград,3317826,25000,full,fullDay,between1And3,,20.396 20.287 20.83 20.325 20.233 20.186
Саратов,1711087,20000,full,fullDay,between1And3,,8.135 8.202
Новокузнецк,2606728,35000,full,shift,between3And6,,21.482 21.275 21.564 21.136
unknown,783886,650,full,shift,between1And3,,17.256 17.231 17.535 2.102 5.103 5.106
unknown,1419273,16000,full,shift,noExperience,,17.256 17.52
unknown,3045607,65000,full,fullDay,between1And3,,10.191 10.54 10.47 10.472
unknown,91926,27000,full,fullDay,between3And6,,17.256 17.324 17.535
unknown,4242662,90000,full,flyInFlyOut,between1And3,,29.551
Тамбов,1820656,18000,full,shift,between1And3,,17.256 17.52 2.102
посёлок Новый Кременкуль,83085,50000,full,fullDay,noExperience,,17.572 17.324 21.275 26.437
unknown,49357,30000,full,shift,noExperience,,26.416 2.102 17.231 17.535
Тула,2476133,23000,full,shift,noExperience,,13.155 13.185
unknown,1151563,35000,full,fullDay,between3And6,,21.482
Нижний Новгород,640043,40000,full,fullDay,between1And3,,7.267 25.385
Новокузнецк,2606728,35000,full,fullDay,between3And6,,21.482
Самара,2761134,25000,full,fullDay,between3And6,,18.142
unknown,3036416,60000,full,fullDay,between1And3,,20.287 20.49
Дзержинск,3028959,700,full,fullDay,noExperience,,15.388 15.391 4.278
рабочий посёлок Коноша,1942330,20000,full,fullDay,noExperience,,17.256 17.231 17.535 17.52 15.389
Ставрополь,1606751,23000,full,fullDay,between1And3,,1.172 1.273 1.42 1.295 1.89
Санкт-Петербург,111761,45000,full,shift,between1And3,,7.267 7.503
unknown,1030733,100000,full,fullDay,between1And3,,17.231
unknown,3819086,20000,full,shift,noExperience,,22.175 22.193 15.313
unknown,1107144,22000,full,fullDay,noExperience,,18.348
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
Алматы,3291036,120000,full,fullDay,between1And3,,18.129
unknown,3421363,55000,full,flyInFlyOut,between1And3,,8.202
Санкт-Петербург,4030061,40000,part,flexible,between3And6,,21.482 4.52
Калуга,4044787,37500,full,fullDay,between3And6,,2.43 2.335 2.463 2.337 2.469
Минск,2441574,1500,full,fullDay,between3And6,,17.111 17.242 17.149 1.225 3.148 3.15
unknown,147024,50000,full,fullDay,between1And3,,17.256 17.535
unknown,2729123,88150,full,flyInFlyOut,between3And6,,7.235 7.267 7.14 7.503
Барнаул,2529692,17000,full,fullDay,between1And3,,8.135 8.202
Новокузнецк,2606728,35000,full,shift,noExperience,,21.176 21.17
unknown,1808,17000,full,shift,noExperience,,17.59
Красноярск,3130962,33000,full,fullDay,between1And3,,21.17 21.482 21.506
unknown,1432137,18000,full,shift,noExperience,,5.126 5.224 5.371 17.149
Барнаул,703818,14000,full,shift,between1And3,,21.482 29.551
unknown,2212177,1300,full,fullDay,between3And6,,17.443 18.143
Москва,612846,95000,full,fullDay,between1And3,,18.212
Омск,3937957,70000,full,fullDay,between3And6,,2.44 2.434
unknown,1282414,29860,full,fullDay,noExperience,,20.396 20.287 20.49 29.51 29.162 29.552
unknown,3969069,30000,full,fullDay,between1And3,,18.75 18.84 18.265 18.298
unknown,192816,25000,part,flexible,between1And3,,22.491 22.204
Минск,1452788,650,full,fullDay,noExperience,,2.43 2.463 2.469 5.42
unknown,581458,45000,full,shift,between1And3,,21.275 21.563 21.564 2.468
Омск,3937957,21000,full,fullDay,noExperience,,29.495
Калининград,3230689,15000,full,remote,noExperience,,17.751 17.538 12.18 15.389 15.391
Омск,3937957,16000,full,shift,noExperience,,18.265
Москва,4270654,45000,full,fullDay,noExperience,,16.216
село Марково,1190061,200000,full,fullDay,between3And6,,18.75 18.263 18.265 9.238 13.49 17.418
г Щербинка,1942336,35000,full,fullDay,between1And3,,4.338 17.52
unknown,196621,21100,full,fullDay,noExperience,,17.302 17.183 17.231 29.495 15.389
,953,25000,full,flexible,between1And3,,5.126 5.21 5.51
Москва,877995,30000,full,shift,between1And3,,17.256 17.149 12.197 12.746
unknown,196621,23900,full,fullDay,between1And3,,17.302 17.334 17.256 17.231 17.535
Краснодар,1042006,35000,full,shift,between3And6,,7.267 7.503
Калининград,3230689,19000,full,shift,noExperience,,3.171 12.18 17.149 17.538
unknown,49357,34500,full,shift,noExperience,,17.302 17.256 17.183 17.231 17.52
Омск,1722477,20000,full,fullDay,noExperience,,20.189 20.2 3.98 12.376
Тольятти,1068750,30000,full,fullDay,between1And3,,7.267 7.14 7.455
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,3427831,33000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.512 29.545
unknown,58320,54540,full,fullDay,between1And3,,5.45
unknown,49357,34500,full,shift,noExperience,,17.302 17.256 17.183 17.231 17.52
Кемерово,1065792,41800,full,fullDay,between3And6,,7.267 21.17
unknown,3230689,15000,full,remote,noExperience,,4.47 4.278 4.264
unknown,1107144,9000,full,fullDay,noExperience,,29.541
Волжский,2844311,19500,full,fullDay,between1And3,,18.129
,178619,35000,full,fullDay,between1And3,,20.445
unknown,1711087,30000,full,fullDay,between1And3,,13.128 13.432 18.208 18.118 18.298
Москва,1554627,70000,full,fullDay,between1And3,,21.17 21.136
Москва,3854841,90000,full,remote,noExperience,,5.219 5.241 5.257 5.106 4.181 4.278
unknown,1772191,55000,full,fullDay,between3And6,,20.287
Саратов,1711087,25000,full,fullDay,noExperience,,18.208
unknown,3230689,16000,full,remote,noExperience,,17.269 17.334 17.538 3.148 6.184
unknown,49357,34500,full,shift,noExperience,,17.302 17.256 17.183 17.231 17.52
unknown,9616,30000,full,fullDay,between1And3,,18.81 18.201
unknown,9616,30000,full,fullDay,between1And3,,18.81 18.201
unknown,943508,25000,full,remote,noExperience,,13.268 4.429 17.144 17.401 17.149 17.183
Волжский,1107144,13500,full,flexible,noExperience,,29.541
,1000634,35000,full,fullDay,between3And6,,18.208 18.265 18.297
Краснодар,1460032,35000,full,fullDay,between1And3,,18.354
Кисловодск,1037425,28000,full,fullDay,between1And3,,17.256 17.242 17.183 17.535 17.44 17.52
Москва,3909320,130000,full,fullDay,between3And6,,22.316 22.531 22.248
unknown,692276,70000,full,fullDay,between1And3,,7.503 29.552
Архангельск,1612458,30000,full,shift,noExperience,,13.438
Ярославль,3348709,40000,full,fullDay,between3And6,,24.379 24.38
unknown,1740,33000,full,shift,between1And3,,21.563 21.564
unknown,1852526,50000,full,fullDay,between1And3,,18.153
Новокузнецк,2606728,35000,full,shift,noExperience,,21.176 21.17
unknown,3465357,950,full,shift,noExperience,,8.202
Калуга,669587,50000,full,fullDay,noExperience,,17.242 20.2 20.7 20.186
unknown,780783,700,full,fullDay,between1And3,,17.302 17.66 17.196 17.231 17.24
Волгоград,1107144,10000,full,fullDay,noExperience,,29.541
unknown,2476133,40000,full,flyInFlyOut,noExperience,,21.275 21.564
Санкт-Петербург,665467,50000,full,fullDay,between1And3,,1.11 1.113 1.273
Иркутск,132124,25000,full,fullDay,noExperience,,15.308
Екатеринбург,182265,40000,full,fullDay,between1And3,,1.221 1.272 1.296
unknown,148054,40000,full,flexible,between1And3,,27.499
unknown,39601,27800,full,fullDay,between3And6,,2.43 2.337 2.164 2.468 2.469 5.42
Ярославль,1891289,23000,full,fullDay,between1And3,,18.118
посёлок фабрики имени 1 Мая,3004844,60000,full,fullDay,between3And6,,29.513 29.546 18.29 18.568 18.297
Минск,746250,700,full,fullDay,between3And6,,4.429
unknown,3033920,60000,full,fullDay,between1And3,,22.353 22.329
Волгоград,779101,8000,full,shift,noExperience,,8.202
Омск,59960,22000,full,shift,noExperience,,21.563
Москва,197566,50000,full,flexible,noExperience,,17.269 17.111 17.358 17.183 3.114 15.389
село Столбище,840485,66800,full,fullDay,between1And3,,17.301 17.302 17.66 17.306 17.196 17.149
unknown,721346,350,full,shift,between1And3,,17.242 17.52 15.389
Нур-Султан (Астана),2461855,240000,full,fullDay,between3And6,,3.328 5.234
Уфа,2114279,30000,full,fullDay,between1And3,,20.287 20.387
unknown,2978755,35000,full,fullDay,noExperience,,29.511
unknown,49357,29400,full,fullDay,noExperience,,17.242 17.183 17.231 17.24 17.52 15.389
Тверь,1280038,21000,full,shift,between1And3,,29.495
Тюмень,1942330,24000,full,fullDay,between1And3,,17.256 17.231 17.535
Томск,1555855,25000,full,fullDay,noExperience,,3.171 3.236 3.206
unknown,779101,20000,full,fullDay,between1And3,,20.396 20.287 20.49 29.51 29.162 29.552
unknown,3782259,30000,full,fullDay,noExperience,,17.256 17.242 17.149 17.52
Нижний Новгород,739408,30000,full,shift,noExperience,,13.131
Тула,152781,75000,full,fullDay,between3And6,,1.221 18.142 18.81 18.451 18.245
Волжский,1107144,14000,full,fullDay,noExperience,,29.541
Краснодар,38314,50000,full,fullDay,between1And3,,7.14 7.222 17.15 17.66 17.306 17.196
Солнечногорск,57045,40000,full,fullDay,noExperience,,29.545 29.517 21.563 21.564
Нижний Новгород,3791709,16000,part,shift,between1And3,,22.491 17.302 17.256 17.231 17.535
unknown,145405,80500,full,fullDay,between1And3,,2.44 2.335 2.464 2.261 2.249 2.425
unknown,49357,30000,full,fullDay,noExperience,,17.256 17.242 17.183 17.231 17.52
Казань,1942330,33000,full,fullDay,between1And3,,17.256 17.231 17.535
unknown,867009,35000,full,shift,between1And3,,26.412 26.408 17.256 17.231 17.535
Астана,3561904,70000,full,fullDay,between1And3,,4.205 4.429 6.254 6.319 6.309 6.247
unknown,145405,150000,full,fullDay,between1And3,,18.299 18.208 18.56 18.265 18.297 14.37
unknown,49357,30000,full,fullDay,noExperience,,17.256 17.242 17.183 17.231 17.52
unknown,1827491,30000,full,fullDay,between1And3,,29.51 29.56 29.162 29.515 29.552
unknown,1827491,30000,full,fullDay,between1And3,,29.51 29.56 29.162 29.515 29.552
unknown,1827491,30000,full,fullDay,between1And3,,29.51 29.56 29.162 29.515 29.552
unknown,2476133,40000,full,flyInFlyOut,noExperience,,21.275 21.564
unknown,1000852,20000,full,flexible,noExperience,,17.302 17.231 29.495
деревня Новосаратовка,2783621,38000,full,shift,noExperience,,29.556 29.495 18.174 18.208
unknown,4366770,45000,full,fullDay,between3And6,,20.396 20.49 29.56 29.515 29.581
unknown,1000852,18000,full,fullDay,noExperience,,29.495 17.256
unknown,145405,52000,full,fullDay,between1And3,,4.332 17.751 17.242 17.196 17.149 17.183
unknown,80,65000,full,fullDay,between1And3,,5.27 5.124 5.126 5.45 5.106
Новоалтайск,614485,18000,full,fullDay,between1And3,,18.13
unknown,753017,650,full,shift,between1And3,,22.491 22.204
г. Донской Тульской области,221095,14100,full,shift,noExperience,,18.348
unknown,4534577,96000,full,fullDay,between3And6,,20.396 20.49 29.56 29.581
unknown,1683050,40000,full,fullDay,noExperience,,18.174 18.208 18.265 29.553 29.554
,646166,80000,full,fullDay,moreThan6,,1.221 1.82 1.295
unknown,3036416,40000,part,flexible,between3And6,,21.482 21.506 27.498 4.52
unknown,3036416,40000,part,flexible,between3And6,,21.482 21.506 27.498 4.52
unknown,3036416,40000,part,flexible,between3And6,,21.482 21.506 27.498 4.52
unknown,3036416,40000,part,flexible,between3And6,,21.482 21.506 27.498 4.52
Усинск,3168116,100000,full,flyInFlyOut,between3And6,,10.191 10.472 21.482
unknown,49357,35300,full,shift,between1And3,,17.256 17.324 17.231 17.535 17.24
unknown,1000852,19000,full,fullDay,noExperience,,29.495 3.151
Москва,2671,41300,full,fullDay,between1And3,,29.495 29.545 21.275 21.564 21.136
Екатеринбург,2097666,40000,full,fullDay,between3And6,,20.396 20.83 29.56 29.162 29.581 18.36
unknown,1000852,18500,full,shift,noExperience,,17.52
Минск,892060,936,full,fullDay,between1And3,,26.416 3.151
г. Донской Тульской области,221095,24000,full,shift,between3And6,,21.482
unknown,1000852,18500,full,shift,noExperience,,17.52
Новоалтайск,614485,18000,full,fullDay,between1And3,,29.588 29.553
Усинск,3168116,100000,full,flyInFlyOut,between3And6,,10.191 10.472 21.482
unknown,196621,19000,full,shift,noExperience,,17.256 17.52
Казань,736633,45000,full,fullDay,between1And3,,17.443 17.302 17.65 17.66 17.196
Новосибирск,3190984,35000,full,fullDay,between1And3,,20.396 20.287 21.136 21.74 18.73
unknown,192816,40000,full,shift,between1And3,,21.482 21.275
unknown,3051276,50000,full,fullDay,noExperience,,21.176 21.69 21.136 15.308 15.389 17.149
Владимир,4175379,20000,full,fullDay,noExperience,,17.242 17.324 17.183 17.152 15.389
Москва,724326,44000,full,fullDay,noExperience,,8.135 8.202 16.761
Иваново,2476133,30000,full,shift,noExperience,,29.556
Новокузнецк,1916194,25000,full,fullDay,between1And3,,21.563 21.564
unknown,1711590,100000,full,fullDay,between1And3,,1.221 1.82
Барнаул,1916194,30000,full,shift,between1And3,,7.267 7.503 29.51 29.162 29.552
unknown,4455067,35000,full,fullDay,between1And3,,29.56 29.515
unknown,753017,950,full,fullDay,between1And3,,18.81 18.36 18.57
Кемерово,1916194,30000,full,fullDay,between1And3,,7.267 7.503 29.51 29.162 29.552
Тула,3634424,22000,full,fullDay,noExperience,,17.269 17.333 17.149 6.309 6.247 6.184
Крымск,3733096,80000,project,fullDay,noExperience,,13.155 13.185
unknown,3051276,50000,full,fullDay,noExperience,,21.176 21.69 21.136 15.308 15.389 17.149
unknown,2249111,600,full,fullDay,between1And3,,11.157 29.516
Солигорск,746605,750,full,fullDay,noExperience,,22.491 22.193 29.512 17.231 18.297 15.313
unknown,9616,30000,full,fullDay,between1And3,,18.81 18.201
unknown,9616,30000,full,fullDay,between1And3,,18.81 18.201
Костанай,1697707,100000,full,fullDay,between1And3,,1.11 1.273 1.211 1.42 1.89
Рязань,566127,95000,full,fullDay,moreThan6,,18.142 18.13 18.153 9.238 9.289 9.22
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
unknown,3733096,80000,full,fullDay,noExperience,,13.155 13.185
Славянск-на-Кубани,780654,25000,full,shift,noExperience,,4.127 4.52 15.308 15.39 17.183 7.392
Оренбург,4400854,35000,full,fullDay,between1And3,,29.511
Геленджик,780654,27000,full,shift,noExperience,,4.127 4.52 15.308 15.39 17.183 7.392
Тамбов,124322,15000,full,fullDay,between1And3,,18.348 18.118
Москва,1464,50000,full,flexible,noExperience,,23.477 17.334 17.538 20.2 20.186 12.376
unknown,1000852,20000,full,fullDay,noExperience,,17.256 17.183 17.535 17.52
Воронеж,4934,30000,full,fullDay,noExperience,,15.93 15.389 17.269 17.183 17.538 4.278
Санкт-Петербург,49357,40800,full,shift,between1And3,,17.256 17.324 17.231 17.535 17.24
unknown,3051276,50000,full,fullDay,noExperience,,21.176 21.69 21.136 15.308 15.389 17.149
Мытищи,3700352,40000,full,fullDay,noExperience,,19.283 19.108 17.65 17.66 17.149 17.183
село Богучаны,136475,20970,full,shift,noExperience,,17.302 17.324 17.231
Симферополь,652699,35000,full,fullDay,between1And3,,17.144 17.65 17.66 17.196 17.58 17.149
unknown,3051276,50000,full,fullDay,noExperience,,21.176 21.69 21.136 15.308 15.389 17.149
unknown,4641621,40000,part,flexible,noExperience,,4.429 4.181 2.179 15.388 15.73 23.182
Санкт-Петербург,36006,60000,full,fullDay,between1And3,,17.112 17.625
unknown,2748,21500,full,fullDay,noExperience,,29.588 29.56 29.162 29.515 29.581 1.744
городской округ Дзержинск,39305,20000,full,shift,noExperience,,17.59 17.302 17.256 17.52
Нижний Новгород,4680,35900,full,fullDay,between1And3,,21.275 21.563 21.564 21.136
Смолевичский район,2819958,1700,full,fullDay,between1And3,,29.583
Красногорск,1623993,35000,full,fullDay,noExperience,,4.47 4.278 4.264
Одинцово,39305,35000,full,shift,noExperience,,17.59 17.302 17.256 17.52
Киров,2748,20000,full,shift,noExperience,,1.172 1.211 1.295 15.93 25.383 25.386
unknown,4083371,1500,full,fullDay,between1And3,,20.49
Московская область,39305,28000,full,fullDay,noExperience,,2.102 17.52
,1275953,20000,project,fullDay,noExperience,,4.332 4.429 4.47 4.32 4.181 4.264
Иваново,2476133,40000,full,fullDay,between3And6,,21.17 21.482 21.506
Тюмень,3020834,28000,full,fullDay,between1And3,,17.256 17.535 17.52
