city,company_id,salary_from,employment,schedule,experience,key_skills,specializations
Воронеж,1265695,30000,full,fullDay,between1And3,,25.381
unknown,2908405,30000,full,fullDay,between1And3,,4.127 5.21
Екатеринбург,3427831,30000,full,flyInFlyOut,noExperience,,18.208 29.545
городской округ Калуга,992640,40000,full,fullDay,between1And3,,26.437
unknown,42090,28000,full,fullDay,between1And3,,17.401 17.66 17.306 17.231 17.535 3.151
unknown,2779489,50000,full,fullDay,between1And3,,20.396
unknown,4531787,40000,full,fullDay,between1And3,,29.542
Воронеж,1212145,50000,full,fullDay,moreThan6,,18.348 18.142 18.36 18.153 18.265 18.297
unknown,3337142,25,full,fullDay,moreThan6,,20.445 20.287 20.387
unknown,4531787,25000,full,fullDay,noExperience,,20.287 20.49 21.481 21.69
Иваново,3165017,15000,full,fullDay,noExperience,,17.149
Курск,2613687,30000,full,fullDay,between1And3,,17.256 17.417 17.196
Армавир,3380351,10000,full,fullDay,noExperience,,21.17 21.481 21.136 21.506 17.149
Сочи,158720,30400,full,fullDay,noExperience,,21.275 21.563 21.564 21.136 21.74
unknown,1068597,800,full,shift,between1And3,,27.497
Уфа,75561,35000,full,fullDay,between1And3,,7.267 7.14 7.222 7.503 7.392
unknown,1321461,18000,part,flexible,noExperience,,29.556 29.588 29.495 17.256 17.231 17.535
Астрахань,3550321,12000,full,fullDay,noExperience,,29.556 29.495 21.563
Минск,1218039,700,full,shift,noExperience,,13.155
Кемерово,1279379,20000,full,fullDay,between1And3,,20.396 20.49 29.56 29.515 29.581
unknown,1707473,20000,full,fullDay,between3And6,,2.43
unknown,2637636,180000,full,fullDay,moreThan6,,14.217
Псков,3476090,20000,full,fullDay,between3And6,,17.52
деревня Новая Гожа,1059013,800,full,fullDay,between1And3,,29.558
,4816,32000,full,fullDay,between1And3,,21.17 21.482 21.136 21.506
Павлодар,4057694,80000,full,fullDay,noExperience,,17.256 17.535 17.52
Алматы,3936938,200000,full,fullDay,between3And6,,14.217
,4925,55000,full,fullDay,noExperience,,4.332 4.255 4.264 15.388
Брянск,2671,45000,full,fullDay,between1And3,,17.242 17.306
Химки,988426,50000,full,flyInFlyOut,noExperience,,18.142 18.153
посёлок городского типа Снегири,3836,15000,part,fullDay,noExperience,,4.494
unknown,54966,40000,full,flexible,noExperience,,17.242 17.149 17.183 17.538
Липецк,578227,40000,full,fullDay,between1And3,,21.17 21.136
Волгоград,53647,19000,full,shift,between1And3,,18.208 18.297 18.298 29.512 17.231 17.52
unknown,44272,25000,full,flexible,noExperience,,1.225
Москва,199361,55000,full,shift,between3And6,,24.379 24.38 24.377 17.144
unknown,4608369,18000,part,flexible,noExperience,,29.556
unknown,4608369,18000,part,flexible,noExperience,,29.556
unknown,4608369,18000,part,flexible,noExperience,,29.556
unknown,4608369,18000,part,flexible,noExperience,,29.556
unknown,4608369,18000,part,flexible,noExperience,,29.556
unknown,2537115,27000,full,fullDay,noExperience,,17.111 17.256 17.149 17.183 17.52 15.389
Уфа,44272,25000,full,flexible,noExperience,,17.269
Смоленск,3282153,40000,full,fullDay,between1And3,,6.319 6.247
Санкт-Петербург,216556,40000,full,fullDay,between1And3,,17.302 17.65 17.66 17.196 17.231 17.24
Москва,2807265,55000,full,fullDay,between1And3,,1.221 1.474
unknown,192816,100000,full,fullDay,moreThan6,,20.287
unknown,192816,100000,full,fullDay,moreThan6,,20.287
,46587,35000,full,fullDay,noExperience,,3.171 3.64 3.98 11.62
Санкт-Петербург,2078051,40000,full,shift,between1And3,,22.193
Москва,3585139,41300,full,shift,between1And3,,22.491 22.204 17.256 17.231 17.535
Екатеринбург,220808,32000,full,fullDay,between1And3,,21.482 21.275 21.564 21.136
Екатеринбург,3591,25000,full,shift,noExperience,,29.556 29.495 29.545 21.176 21.275 21.564
unknown,953,35500,full,fullDay,between1And3,,5.195 5.106
Полысаево,2607450,31700,full,fullDay,between1And3,,18.36
unknown,53647,18500,full,shift,between1And3,,17.256 17.183 17.231 17.535 17.52
Самара,1365807,30000,full,fullDay,between1And3,,24.38
unknown,2198467,40000,full,fullDay,between3And6,,20.396 20.527 20.528 20.83 20.58 18.81
Тверь,2353109,30000,full,shift,noExperience,,29.495 21.564
Омск,1927126,35000,full,shift,between1And3,,13.587 13.732 13.131
Новосибирск,669587,20000,full,shift,noExperience,,4.332 4.255 4.181 12.376
Королев,709944,70000,full,fullDay,between3And6,,18.13
unknown,196621,20000,full,fullDay,noExperience,,17.256 17.183 17.231 15.389
,1092855,20000,full,fullDay,between1And3,,29.557 29.51
,1092855,30000,full,fullDay,between1And3,,29.552
unknown,192816,45000,full,fullDay,between1And3,,8.77 5.34
unknown,192816,45000,full,fullDay,between1And3,,8.77 5.34
Павловск,2022460,22000,full,shift,noExperience,,17.65 17.66 17.149 17.535 3.148
Москва,54966,40000,full,shift,noExperience,,17.302 17.183 17.538 12.18 4.278
село Яковлевское,2829911,30000,full,fullDay,between1And3,,18.143 18.81 18.13 18.29 18.297
Санкт-Петербург,1942336,32000,full,shift,between1And3,,21.176 21.275 17.231 17.24
Москва,2118596,30000,full,fullDay,noExperience,,17.302 29.495
Минск,1174567,1500,full,fullDay,between3And6,,25.381 25.384 17.149
unknown,4306728,35000,full,flyInFlyOut,noExperience,,29.556 29.542
Омск,1927126,40000,full,fullDay,between1And3,,13.587
unknown,745358,35000,full,fullDay,noExperience,,17.306 17.149
Томск,35318,45000,full,fullDay,between3And6,,18.201
Улан-Удэ,3153606,25000,full,fullDay,between1And3,,29.517
Москва,3585139,41300,full,fullDay,between1And3,,17.256 17.231 17.535 21.564
unknown,4125918,22000,full,shift,between1And3,,29.495
Дзержинск,2903355,25000,full,fullDay,between1And3,,29.588
unknown,215975,16000,full,fullDay,between1And3,,17.302 17.256 17.324
Алматы,1444741,100000,full,fullDay,noExperience,,17.397 17.446 17.417 18.29 18.36 18.361
unknown,2580494,60000,full,fullDay,between3And6,,21.17
Ижевск,3090118,17000,full,shift,noExperience,,22.193 15.313
Казань,50616,30000,full,fullDay,between1And3,,1.225 1.359 12.5 17.358 17.487 17.538
unknown,1855374,60000,full,fullDay,noExperience,,13.155 13.131
Москва,97979,40000,full,shift,between1And3,,7.14 7.222 7.455 21.563 21.136 26.407
Краснодар,1445049,50000,full,fullDay,between3And6,,20.387
Минск,1373710,1800,full,fullDay,moreThan6,,20.287
Москва,54966,40000,full,flexible,noExperience,,17.302 17.149 17.538 15.389 15.391 4.278
Минск,755771,700,full,fullDay,noExperience,,17.65 17.66 17.149 17.535
станица Новотитаровская,3187687,30000,full,fullDay,noExperience,,18.29
Москва,3585139,41300,full,fullDay,between1And3,,17.256 17.231 17.535 21.564
unknown,1153064,100000,part,fullDay,noExperience,,22.175 27.497
unknown,1034168,50000,full,fullDay,between3And6,,1.221 1.3 1.89
,25022,55000,full,fullDay,between1And3,,2.43 2.335 2.164
Няань,1942330,74000,full,fullDay,between1And3,,17.256 17.231 17.535
деревня Лешково,69855,80000,full,fullDay,between1And3,,17.66 17.196 17.24
unknown,916364,20000,full,shift,noExperience,,17.256 17.183 17.535 17.52 15.389
Екатеринбург,1113394,20000,full,fullDay,between1And3,,24.378
Самара,247162,25000,full,fullDay,noExperience,,29.495 29.545 21.275 21.564 21.136 15.308
unknown,112694,40000,full,fullDay,between1And3,,17.111 17.256 17.358 17.183 17.52
Рязань,5599,60000,full,shift,between1And3,,1.221 1.273 1.211 1.536
Симферополь,2122835,40000,full,fullDay,noExperience,,17.302 17.66 17.242 17.306 17.149
коттеджный поселок Медовое,414894,40000,full,shift,noExperience,,17.59 17.231 17.52
unknown,78961,20000,full,fullDay,noExperience,,5.177 5.371 5.106 15.389 15.346
Старый Оскол,1245158,20000,full,fullDay,noExperience,,1.172 1.221 1.117 1.1 15.93
unknown,3681511,60000,full,flyInFlyOut,noExperience,,29.495 29.512 29.545 29.517 21.564 21.756
Омск,1551041,18000,full,fullDay,noExperience,,29.495
Одинцово,960372,40000,full,fullDay,between1And3,,18.174 18.143 18.212 29.515 29.517 29.581
Евпатория,1645927,40000,full,fullDay,between1And3,,17.242 17.149
unknown,49357,36000,full,shift,noExperience,,21.563 21.564
Калининград,1259738,12950,part,flexible,noExperience,,17.535 17.44 17.52
unknown,2715867,20000,full,fullDay,noExperience,,17.256 17.44 17.52
,44495,33900,full,shift,noExperience,,17.242 17.183 17.535 17.44 17.52 2.102
Мурманск,1623132,25000,part,fullDay,noExperience,,27.497
деревня Лешково,69855,45000,full,fullDay,between1And3,,2.44 2.342 2.343 2.344 2.425 5.426
,1894985,35000,full,fullDay,between1And3,,17.66 17.149 17.535 3.148
Обнинск,916364,25000,full,shift,noExperience,,17.302 17.256 17.183 17.535 17.52 15.389
деревня Лешково,69855,80000,full,fullDay,between3And6,,17.65 17.417 17.242 17.196
Набережные Челны,1032612,28000,full,fullDay,noExperience,,29.549
Москва,4351,30000,full,fullDay,between1And3,,2.43 2.469
Нижний Новгород,2312144,50436,full,fullDay,between3And6,,21.275
Москва,1942330,40000,full,fullDay,between1And3,,17.256 17.231 17.535
unknown,40938,24860,full,fullDay,between1And3,,3.206 3.209 3.305 3.23 3.8 3.9
Иркутск,2146335,60000,full,fullDay,between1And3,,17.242 17.306 17.149
unknown,196621,27000,full,shift,noExperience,,29.495 29.545 21.275 21.564
Москва,4855,30000,full,fullDay,noExperience,,22.175 21.176 21.482 15.308 15.313
Краснодар,2884450,30000,full,fullDay,between3And6,,13.398 13.131
unknown,1620017,250000,full,fullDay,noExperience,,20.2 17.183
Мурманск,3329786,55000,full,fullDay,between1And3,,18.354 18.201
unknown,4191288,80000,full,fullDay,between1And3,,10.258
Одинцово,68381,55000,full,fullDay,between1And3,,1.221 1.82 8.461 18.81
Уфа,3576782,25000,full,fullDay,between3And6,,4.205 4.429 4.32 2.469 16.569
unknown,4000094,1500,full,fullDay,between1And3,,17.144 13.227 13.489
unknown,63367,35000,full,fullDay,noExperience,,26.414 26.449
Пермь,1417679,25000,full,shift,between3And6,,18.142
unknown,63367,30000,full,fullDay,noExperience,,18.245
Дмитров,1517437,47000,full,fullDay,between1And3,,17.256 17.183 17.231 17.535 17.52
Видное,4880,32500,full,fullDay,noExperience,,17.256 17.183 17.535 17.52
Астрахань,1245158,20000,probation,fullDay,noExperience,,1.172 1.221 1.117 1.1 15.93
unknown,1858172,1000,full,fullDay,noExperience,,21.136
Калининград,3071650,25000,full,shift,noExperience,,24.379
Нижний Новгород,55801,27000,full,fullDay,between1And3,,29.51 21.482 21.275 21.564
unknown,49357,35000,full,flyInFlyOut,noExperience,,13.155 13.22 13.578 13.227 13.228 13.185
unknown,735972,65000,full,fullDay,between1And3,,18.142 20.287 21.482 29.551
Санкт-Петербург,2885331,35000,full,shift,noExperience,,17.144 17.256 17.196 17.52 13.227 13.229
unknown,1522727,800,full,shift,between1And3,,21.482
Краснодар,1842089,35000,full,shift,between1And3,,22.491 22.204 15.313
Новосибирск,54937,25000,full,fullDay,moreThan6,,20.396 20.287 20.49 29.51 29.162 29.552
unknown,4710252,61000,full,flyInFlyOut,noExperience,,29.545 29.517 21.563 21.564
unknown,4710252,61000,full,flyInFlyOut,noExperience,,29.545 29.517 21.563 21.564
unknown,3400141,55700,full,flyInFlyOut,noExperience,,29.556 29.541 29.495 29.517
Санкт-Петербург,1689259,40000,full,flexible,between3And6,,21.482
Королёв,1689259,50000,part,shift,between1And3,,24.493
Москва,1689259,100000,part,shift,noExperience,,24.493
Краснознаменск,1689259,50000,full,fullDay,between3And6,,26.439 26.473 21.74
Москва,1689259,30000,part,shift,noExperience,,27.497 4.374
Королёв,1689259,60000,part,shift,between1And3,,13.587 24.377
Королёв,1689259,60000,part,shift,between1And3,,24.624
Коломна,1689259,38000,full,shift,noExperience,,17.183 17.231
Видное,1689259,37000,full,shift,noExperience,,17.183
unknown,3112639,20000,full,fullDay,noExperience,,15.288
unknown,7944,60000,full,fullDay,noExperience,,5.46 5.126 5.224 5.106
,1467610,25000,full,fullDay,between1And3,,18.13 29.583
Новосибирск,2284658,30000,full,fullDay,between1And3,,21.563 21.564
,60977,32000,full,fullDay,noExperience,,17.397 17.149 18.81 18.36 15.388 15.389
Благовещенск,4486666,47000,full,fullDay,between3And6,,20.233
Москва,4855,30000,full,fullDay,noExperience,,22.491 22.204 22.175 15.313
unknown,2151024,100000,full,shift,between3And6,,13.587 13.398 13.131
Брянск,4372713,24000,full,fullDay,noExperience,,12.746
"Северский р-н, поселок городского типа Ильский",1942330,21000,full,fullDay,noExperience,,17.256 17.231 17.535 17.52 15.389
Москва,2997760,60000,full,fullDay,between3And6,,20.287
Самара,780654,13000,part,shift,between1And3,,29.495 29.545 21.176 21.275 21.563 21.564
поселок Залесье,227442,33000,full,fullDay,between1And3,,29.545 21.275 21.563 21.564 21.136
Самара,67611,38000,full,fullDay,noExperience,,1.225
Казань,144433,70000,full,flexible,between3And6,,17.334 17.242 17.149 20.2
Тула,916364,25000,full,shift,noExperience,,17.302 17.256 17.183 17.535 17.52 15.389
Екатеринбург,867009,19200,full,shift,noExperience,,17.256 17.231 29.545 29.517 21.275 21.563
unknown,3012159,14000,full,fullDay,noExperience,,17.231
Москва,4855,40000,full,flexible,noExperience,,15.308
Новосибирск,4217721,45000,full,fullDay,moreThan6,,2.43
Москва,3838,60000,full,fullDay,between1And3,,4.205 4.255 4.278 4.264 5.579 17.149
Казань,2893466,25000,full,flexible,between1And3,,17.231
Минск,4013816,600,full,fullDay,noExperience,,4.47 17.256 17.535
Иваново,916364,25000,full,shift,noExperience,,17.302 17.256 17.183 17.535 17.52 15.389
unknown,710030,40000,full,fullDay,between1And3,,17.242 17.306 17.231
unknown,789662,150000,full,fullDay,between3And6,,1.221 1.273 1.82 1.211 1.117 1.25
Альметьевск,404,21000,full,shift,between1And3,,5.126 5.257
unknown,1710292,650,full,fullDay,noExperience,,4.494
Краснодар,29136,16000,full,shift,between1And3,,22.193
"Северский р-н, поселок городского типа Ильский",1942330,25000,full,fullDay,between1And3,,17.256 17.231 17.535
unknown,4729589,50000,full,fullDay,moreThan6,,29.511 29.553
Москва,2999284,40000,full,fullDay,between3And6,,18.142 29.511 29.553
Москва,971311,40000,full,fullDay,between1And3,,21.563 21.564
Краснодар,583970,30000,full,fullDay,between1And3,,22.248
Подольск,42202,25000,full,shift,noExperience,,29.495
Волгоград,28053,31000,full,fullDay,between3And6,,2.43 2.335 2.463 2.337 2.469 5.42
Уфа,840485,31000,full,fullDay,noExperience,,17.302 17.66 17.196 17.149 17.183 17.538
Волжский,3046357,20000,full,fullDay,between1And3,,21.482 21.275 21.564 21.136
Вязьма,4710252,60000,full,flyInFlyOut,noExperience,,29.588 18.208
агрогородок Колодищи,3730513,700,full,fullDay,noExperience,,29.556
unknown,790971,16000,part,shift,noExperience,,29.495
Ростов-на-Дону,60973,35000,full,fullDay,between1And3,,17.256 17.242 17.324 17.535
unknown,3731873,200000,full,fullDay,noExperience,,11.157 11.173 11.16 15.96
unknown,2476133,40000,full,fullDay,between1And3,,18.56 18.265
Раменское,969031,30000,full,fullDay,noExperience,,17.256 17.149 17.183 17.535 17.52
Домодедово,3797877,30000,full,fullDay,between1And3,,1.225 1.82
Щомыслица,2496913,750,full,fullDay,between1And3,,29.495
Москва,2222717,40000,full,fullDay,between3And6,,29.515
,166608,33000,full,shift,noExperience,,17.302 17.256 17.487 17.535 17.44 17.52
Красноярск,1024455,25000,full,fullDay,noExperience,,29.495 29.545 21.275 21.564 21.136
unknown,215975,15000,full,shift,noExperience,,15.389 17.183 17.535 17.52
Москва,660126,150000,full,fullDay,between1And3,,20.2 17.149 12.326 12.376
Краснодар,1745199,25000,full,fullDay,noExperience,,29.541
unknown,615764,25000,full,shift,between1And3,,29.56 29.515 29.581
unknown,4729140,25000,part,flexible,noExperience,,4.255 4.32 4.181 4.278 4.264 15.388
Краснодар,583970,30000,full,fullDay,between1And3,,22.248
Казань,2893466,20000,full,shift,noExperience,,17.231
unknown,196621,22500,full,fullDay,noExperience,,17.302 17.183 17.231 29.495 15.389
Москва,969031,30000,full,fullDay,between1And3,,17.52
unknown,215975,18000,full,fullDay,between1And3,,17.183 17.535 17.52
unknown,1711087,30000,full,fullDay,between1And3,,17.256 17.306 17.231
посёлок Весёлый,3148,20000,full,shift,between1And3,,17.112 17.358 17.487
unknown,2476133,40000,full,fullDay,between1And3,,18.208
Волжский,3046357,20000,full,fullDay,noExperience,,29.513
Благовещенск,1432137,25000,full,shift,noExperience,,5.219 5.126 17.149 15.389 15.346 15.73
unknown,783886,550,full,shift,noExperience,,17.256 15.389 2.102 5.103
поселок железнодорожного разъезда Киндери,594900,40000,full,fullDay,between3And6,,17.59 17.302 17.15 17.24 7.14 7.222
unknown,789662,150000,full,fullDay,between3And6,,1.221 1.117 1.25
unknown,1080705,18000,full,shift,noExperience,,15.14 3.508 4.47 4.278 4.264
Красноярск,50431,30000,full,shift,between1And3,,18.153
деревня Ям-Ижора,49357,27000,full,shift,between1And3,,29.588 29.551
г Санкт-Петербург,1942330,33000,full,fullDay,between1And3,,17.256 17.231 17.535 17.52
Ухта,3782259,30000,full,shift,noExperience,,17.256 1.225
Железногорск,242574,27000,full,fullDay,noExperience,,29.495
Москва,4855,30000,full,fullDay,noExperience,,22.491 22.204 22.175 15.313
unknown,783886,700,full,shift,between1And3,,17.256 17.231 17.535 17.52
г Санкт-Петербург,1942330,33000,full,fullDay,between1And3,,17.256 17.231 17.535 17.52
unknown,915342,60000,full,fullDay,noExperience,,19.284 19.19 17.334 17.306 20.2 15.389
Краснодар,645802,25000,full,fullDay,noExperience,,17.397 17.196 17.538
Екатеринбург,1962141,90000,full,flyInFlyOut,between3And6,,18.201
Минск,915358,1200,full,remote,between3And6,,21.482 21.136
unknown,4918,50000,full,fullDay,between1And3,,17.302 17.256 17.66 17.242 17.231
Гомель,2437486,700,full,fullDay,between1And3,,17.242 17.306 17.149
деревня Ям-Ижора,49357,27000,full,shift,noExperience,,29.588 29.551
поселок дома отдыха Покровское,1186664,35000,full,fullDay,noExperience,,22.248
,694965,30000,full,fullDay,moreThan6,,18.212 17.149
Казань,2893466,35000,full,flexible,between1And3,,17.231
Балашиха,2173285,25000,full,fullDay,noExperience,,29.541
unknown,114054,28000,full,fullDay,between1And3,,17.256 17.417 17.52
Ржев,916364,25000,full,shift,noExperience,,17.256 17.535 17.52
Томская область,1065820,15000,full,fullDay,between1And3,,4.494
,1170188,38000,full,shift,noExperience,,17.256 17.183 17.535 17.44 17.52 15.389
,3592,25000,full,shift,between1And3,,2.102 5.103 17.44
unknown,2877071,40000,full,fullDay,between1And3,,29.583
Брянск,3548498,30000,full,fullDay,between1And3,,2.43 2.463 2.469
Краснодар,1745199,17400,full,fullDay,noExperience,,29.54
Ростов-на-Дону,153489,30500,full,fullDay,between1And3,,2.43 2.335 5.42
Санкт-Петербург,2950003,25000,full,fullDay,between1And3,,20.233
Нижний Новгород,93051,35000,full,fullDay,noExperience,,17.269 17.112 17.149 17.183 17.538 1.225
Москва,16962,35000,full,fullDay,between1And3,,21.275 21.564
деревня Чёрная Грязь,24428,35000,full,fullDay,between1And3,,2.43 2.469 4.429
Пермь,3903645,40000,full,fullDay,between1And3,,13.131
Нижний Тагил,1344498,20000,full,flexible,noExperience,,17.256 17.535 17.52
Красноярск,764451,40000,full,fullDay,between1And3,,21.275 21.563
Казань,1485393,31200,full,fullDay,noExperience,,29.56 29.515 20.83 20.49
unknown,2746,19000,full,shift,noExperience,,17.256 17.324 17.535
unknown,44495,27000,full,shift,noExperience,,17.242 17.183 17.44 17.52 15.389 15.391
unknown,370,45000,full,fullDay,between1And3,,19.109 17.333 17.623 5.132 5.121 5.106
Борисоглебск,4372713,22600,full,fullDay,noExperience,,12.746
Москва,99070,30000,full,shift,between1And3,,8.519 21.506
Минск,730758,1500,full,fullDay,between1And3,,18.36
unknown,2987796,50000,full,fullDay,noExperience,,29.588 29.541
Москва,1094,40000,full,fullDay,noExperience,,4.255 4.264
Москва,1481238,60000,full,fullDay,between1And3,,20.287
Минск,1156194,850,full,shift,between1And3,,17.65 17.66 17.149 17.535
Москва,2125948,30000,full,shift,between1And3,,17.256 17.417 17.242 17.149
Пермь,3903645,40000,full,fullDay,between1And3,,13.131
unknown,3856380,40000,full,shift,between3And6,,21.17 21.482 21.506
unknown,1186,40000,full,fullDay,between1And3,,3.507 17.302 17.306 17.196 17.24
Москва,925887,40000,full,fullDay,noExperience,,21.17 21.482 21.136 21.506
Пермь,3903645,45000,full,fullDay,between1And3,,13.131
,66212,35000,full,fullDay,between1And3,,17.443 17.302 17.324 17.183
unknown,1344498,20000,full,fullDay,between1And3,,17.256 17.535 17.52
unknown,42698,35000,full,fullDay,between1And3,,18.348 18.13 18.142 18.16 18.81 18.245
Пермь,3903645,37000,full,fullDay,between1And3,,13.748
Москва,2125948,40000,full,fullDay,between1And3,,17.256 17.242 20.233 20.49
unknown,78961,25000,full,fullDay,noExperience,,19.283 5.126 5.177 5.21 17.242 15.346
unknown,4277140,60000,full,fullDay,between3And6,,29.551
Ижевск,4180220,30000,full,fullDay,noExperience,,3.148 17.149
unknown,3592,25000,full,shift,noExperience,,17.256 17.535 17.44 17.52
Заславль,779127,700,full,fullDay,noExperience,,18.348 18.129 18.118
unknown,3011666,60000,full,fullDay,between1And3,,13.587 13.131 13.229
Пермь,1610467,25000,full,fullDay,between1And3,,21.48 21.17 21.481 21.136
Тюмень,2635586,40000,full,fullDay,between1And3,,7.267 7.503 25.381
Краснодар,3967915,25000,full,fullDay,between1And3,,7.14 17.15 26.407
Челябинск,792880,60000,full,fullDay,between3And6,,8.461 8.575 8.26 8.356
Челябинск,3096846,22000,full,fullDay,between1And3,,2.425 5.426
деревня Кремлевка,224912,25000,full,shift,noExperience,,29.495 29.545
Москва,2476133,70000,full,fullDay,between3And6,,7.235 7.14 18.142 18.81 18.568 18.297
unknown,9966,50000,full,fullDay,between1And3,,17.302 17.65 17.242 17.149 15.288 15.389
unknown,958883,550,full,fullDay,noExperience,,17.443 17.183 17.52 29.495 29.517 15.389
Екатеринбург,66212,35000,full,fullDay,between1And3,,17.443 17.302 17.324 17.183
коттеджный поселок Каменки,749248,70000,full,fullDay,moreThan6,,20.396 20.445 20.528 20.83
г Нижний Новгород,1942336,22000,full,fullDay,noExperience,,17.256 17.231 17.535 17.24 17.52 2.102
г Московский,1942336,35000,full,fullDay,between1And3,,22.175 17.256 17.231 17.535 18.297
г Нижний Новгород,1942336,23000,full,shift,noExperience,,17.256 17.231 17.535 17.24 17.52 2.102
